name,description
EV Model 3 30,"Carro elétrico econômico com autonomia de 548 km e aceleração de 0 a 100 km/h em 2.64 s"
EV Semi 31,"Carro elétrico revolucionário com autonomia de 249 km e aceleração de 0 a 100 km/h em 3.33 s"
EV Model S 32,"Carro elétrico robusto com autonomia de 373 km e aceleração de 0 a 100 km/h em 3.90 s"
EV Roadster 33,"Carro elétrico futurístico com autonomia de 546 km e aceleração de 0 a 100 km/h em 3.60 s"
EV Model X 34,"Carro elétrico potente com autonomia de 250 km e aceleração de 0 a 100 km/h em 3.16 s"
EV Model S 35,"Carro elétrico elegante com autonomia de 457 km e aceleração de 0 a 100 km/h em 2.36 s"
EV Semi 36,"Carro elétrico robusto com autonomia de 275 km e aceleração de 0 a 100 km/h em 2.44 s"
EV Cybertruck 37,"Carro elétrico elegante com autonomia de 334 km e aceleração de 0 a 100 km/h em 3.59 s"
EV Roadster 38,"Carro elétrico robusto com autonomia de 335 km e aceleração de 0 a 100 km/h em 3.83 s"
EV Model X 39,"Carro elétrico moderno com autonomia de 390 km e aceleração de 0 a 100 km/h em 3.08 s"
EV Model 3 40,"Carro elétrico robusto com autonomia de 388 km e aceleração de 0 a 100 km/h em 3.03 s"
EV Roadster 41,"Carro elétrico revolucionário com autonomia de 351 km e aceleração de 0 a 100 km/h em 2.91 s"
EV Model 3 42,"Carro elétrico incrível com autonomia de 241 km e aceleração de 0 a 100 km/h em 3.21 s"
EV Model S 43,"Carro elétrico revolucionário com autonomia de 299 km e aceleração de 0 a 100 km/h em 2.07 s"
EV Semi 44,"Carro elétrico elegante com autonomia de 299 km e aceleração de 0 a 100 km/h em 2.83 s"
EV Model X 45,"Carro elétrico econômico com autonomia de 272 km e aceleração de 0 a 100 km/h em 2.03 s"
EV EV Concept 46,"Carro elétrico futurístico com autonomia de 401 km e aceleração de 0 a 100 km/h em 3.28 s"
EV Model S 47,"Carro elétrico incrível com autonomia de 440 km e aceleração de 0 a 100 km/h em 2.79 s"
EV Semi 48,"Carro elétrico revolucionário com autonomia de 272 km e aceleração de 0 a 100 km/h em 2.94 s"
EV Model Y 49,"Carro elétrico revolucionário com autonomia de 302 km e aceleração de 0 a 100 km/h em 2.95 s"
EV Model Y 50,"Carro elétrico incrível com autonomia de 247 km e aceleração de 0 a 100 km/h em 2.54 s"
EV Model X 51,"Carro elétrico revolucionário com autonomia de 446 km e aceleração de 0 a 100 km/h em 3.41 s"
EV Model S 52,"Carro elétrico potente com autonomia de 246 km e aceleração de 0 a 100 km/h em 3.05 s"
EV Model S 53,"Carro elétrico potente com autonomia de 210 km e aceleração de 0 a 100 km/h em 3.85 s"
EV EV Concept 54,"Carro elétrico elegante com autonomia de 235 km e aceleração de 0 a 100 km/h em 3.07 s"
EV Model S 55,"Carro elétrico incrível com autonomia de 404 km e aceleração de 0 a 100 km/h em 2.06 s"
EV Model 3 56,"Carro elétrico robusto com autonomia de 516 km e aceleração de 0 a 100 km/h em 3.02 s"
EV EV Concept 57,"Carro elétrico econômico com autonomia de 363 km e aceleração de 0 a 100 km/h em 2.51 s"
EV Model S 58,"Carro elétrico potente com autonomia de 446 km e aceleração de 0 a 100 km/h em 2.79 s"
EV Model S 59,"Carro elétrico moderno com autonomia de 457 km e aceleração de 0 a 100 km/h em 3.67 s"
EV Model X 60,"Carro elétrico futurístico com autonomia de 225 km e aceleração de 0 a 100 km/h em 3.54 s"
EV Model X 61,"Carro elétrico econômico com autonomia de 562 km e aceleração de 0 a 100 km/h em 3.82 s"
EV Model X 62,"Carro elétrico incrível com autonomia de 381 km e aceleração de 0 a 100 km/h em 2.72 s"
EV Roadster 63,"Carro elétrico revolucionário com autonomia de 581 km e aceleração de 0 a 100 km/h em 2.29 s"
EV Model X 64,"Carro elétrico incrível com autonomia de 276 km e aceleração de 0 a 100 km/h em 3.05 s"
EV EV Concept 65,"Carro elétrico incrível com autonomia de 296 km e aceleração de 0 a 100 km/h em 2.18 s"
EV Roadster 66,"Carro elétrico moderno com autonomia de 295 km e aceleração de 0 a 100 km/h em 3.64 s"
EV Model 3 67,"Carro elétrico futurístico com autonomia de 338 km e aceleração de 0 a 100 km/h em 3.00 s"
EV Roadster 68,"Carro elétrico robusto com autonomia de 491 km e aceleração de 0 a 100 km/h em 3.03 s"
EV Model 3 69,"Carro elétrico revolucionário com autonomia de 388 km e aceleração de 0 a 100 km/h em 3.54 s"
EV Model X 70,"Carro elétrico econômico com autonomia de 226 km e aceleração de 0 a 100 km/h em 2.68 s"
EV Roadster 71,"Carro elétrico moderno com autonomia de 509 km e aceleração de 0 a 100 km/h em 3.14 s"
EV Model 3 72,"Carro elétrico robusto com autonomia de 434 km e aceleração de 0 a 100 km/h em 2.50 s"
EV Cybertruck 73,"Carro elétrico incrível com autonomia de 344 km e aceleração de 0 a 100 km/h em 2.43 s"
EV Model X 74,"Carro elétrico potente com autonomia de 329 km e aceleração de 0 a 100 km/h em 3.58 s"
EV Roadster 75,"Carro elétrico econômico com autonomia de 240 km e aceleração de 0 a 100 km/h em 3.40 s"
EV Model S 76,"Carro elétrico moderno com autonomia de 519 km e aceleração de 0 a 100 km/h em 3.21 s"
EV Semi 77,"Carro elétrico revolucionário com autonomia de 286 km e aceleração de 0 a 100 km/h em 3.17 s"
EV Roadster 78,"Carro elétrico incrível com autonomia de 437 km e aceleração de 0 a 100 km/h em 3.57 s"
EV Roadster 79,"Carro elétrico futurístico com autonomia de 428 km e aceleração de 0 a 100 km/h em 3.91 s"
EV Model 3 80,"Carro elétrico revolucionário com autonomia de 263 km e aceleração de 0 a 100 km/h em 2.60 s"
EV Model Y 81,"Carro elétrico moderno com autonomia de 587 km e aceleração de 0 a 100 km/h em 3.17 s"
EV Model S 82,"Carro elétrico incrível com autonomia de 478 km e aceleração de 0 a 100 km/h em 3.45 s"
EV Model 3 83,"Carro elétrico futurístico com autonomia de 316 km e aceleração de 0 a 100 km/h em 2.42 s"
EV EV Concept 84,"Carro elétrico econômico com autonomia de 580 km e aceleração de 0 a 100 km/h em 2.86 s"
EV Model 3 85,"Carro elétrico revolucionário com autonomia de 571 km e aceleração de 0 a 100 km/h em 3.91 s"
EV EV Concept 86,"Carro elétrico revolucionário com autonomia de 415 km e aceleração de 0 a 100 km/h em 2.54 s"
EV Semi 87,"Carro elétrico incrível com autonomia de 277 km e aceleração de 0 a 100 km/h em 2.43 s"
EV Roadster 88,"Carro elétrico econômico com autonomia de 219 km e aceleração de 0 a 100 km/h em 3.65 s"
EV Semi 89,"Carro elétrico revolucionário com autonomia de 342 km e aceleração de 0 a 100 km/h em 3.28 s"
EV EV Concept 90,"Carro elétrico econômico com autonomia de 427 km e aceleração de 0 a 100 km/h em 3.86 s"
EV Model Y 91,"Carro elétrico incrível com autonomia de 514 km e aceleração de 0 a 100 km/h em 3.83 s"
EV Roadster 92,"Carro elétrico incrível com autonomia de 387 km e aceleração de 0 a 100 km/h em 2.64 s"
EV Roadster 93,"Carro elétrico revolucionário com autonomia de 342 km e aceleração de 0 a 100 km/h em 2.54 s"
EV Model Y 94,"Carro elétrico revolucionário com autonomia de 300 km e aceleração de 0 a 100 km/h em 2.39 s"
EV Semi 95,"Carro elétrico futurístico com autonomia de 491 km e aceleração de 0 a 100 km/h em 2.66 s"
EV Cybertruck 96,"Carro elétrico potente com autonomia de 460 km e aceleração de 0 a 100 km/h em 3.81 s"
EV Semi 97,"Carro elétrico incrível com autonomia de 362 km e aceleração de 0 a 100 km/h em 3.37 s"
EV Semi 98,"Carro elétrico futurístico com autonomia de 392 km e aceleração de 0 a 100 km/h em 3.19 s"
EV Model Y 99,"Carro elétrico moderno com autonomia de 297 km e aceleração de 0 a 100 km/h em 3.71 s"
EV Roadster 100,"Carro elétrico elegante com autonomia de 305 km e aceleração de 0 a 100 km/h em 3.77 s"
EV Roadster 101,"Carro elétrico econômico com autonomia de 526 km e aceleração de 0 a 100 km/h em 3.66 s"
EV Model S 102,"Carro elétrico robusto com autonomia de 289 km e aceleração de 0 a 100 km/h em 2.14 s"
EV Semi 103,"Carro elétrico elegante com autonomia de 232 km e aceleração de 0 a 100 km/h em 2.99 s"
EV Model S 104,"Carro elétrico elegante com autonomia de 240 km e aceleração de 0 a 100 km/h em 2.75 s"
EV EV Concept 105,"Carro elétrico econômico com autonomia de 248 km e aceleração de 0 a 100 km/h em 3.07 s"
EV Model 3 106,"Carro elétrico futurístico com autonomia de 251 km e aceleração de 0 a 100 km/h em 3.65 s"
EV Semi 107,"Carro elétrico incrível com autonomia de 378 km e aceleração de 0 a 100 km/h em 2.59 s"
EV Model S 108,"Carro elétrico futurístico com autonomia de 596 km e aceleração de 0 a 100 km/h em 3.92 s"
EV Model S 109,"Carro elétrico potente com autonomia de 391 km e aceleração de 0 a 100 km/h em 3.44 s"
EV Model 3 110,"Carro elétrico futurístico com autonomia de 526 km e aceleração de 0 a 100 km/h em 2.49 s"
EV Model S 111,"Carro elétrico incrível com autonomia de 555 km e aceleração de 0 a 100 km/h em 3.16 s"
EV Model Y 112,"Carro elétrico econômico com autonomia de 535 km e aceleração de 0 a 100 km/h em 3.08 s"
EV Semi 113,"Carro elétrico incrível com autonomia de 359 km e aceleração de 0 a 100 km/h em 2.25 s"
EV EV Concept 114,"Carro elétrico futurístico com autonomia de 546 km e aceleração de 0 a 100 km/h em 2.32 s"
EV Semi 115,"Carro elétrico moderno com autonomia de 515 km e aceleração de 0 a 100 km/h em 2.93 s"
EV Roadster 116,"Carro elétrico potente com autonomia de 280 km e aceleração de 0 a 100 km/h em 2.06 s"
EV EV Concept 117,"Carro elétrico revolucionário com autonomia de 275 km e aceleração de 0 a 100 km/h em 3.17 s"
EV Semi 118,"Carro elétrico econômico com autonomia de 510 km e aceleração de 0 a 100 km/h em 2.53 s"
EV Model X 119,"Carro elétrico elegante com autonomia de 444 km e aceleração de 0 a 100 km/h em 2.20 s"
EV Roadster 120,"Carro elétrico potente com autonomia de 323 km e aceleração de 0 a 100 km/h em 2.73 s"
EV Model X 121,"Carro elétrico futurístico com autonomia de 501 km e aceleração de 0 a 100 km/h em 2.64 s"
EV Model Y 122,"Carro elétrico moderno com autonomia de 424 km e aceleração de 0 a 100 km/h em 2.25 s"
EV Model X 123,"Carro elétrico potente com autonomia de 372 km e aceleração de 0 a 100 km/h em 2.45 s"
EV Model X 124,"Carro elétrico moderno com autonomia de 267 km e aceleração de 0 a 100 km/h em 2.74 s"
EV Cybertruck 125,"Carro elétrico futurístico com autonomia de 345 km e aceleração de 0 a 100 km/h em 3.83 s"
EV EV Concept 126,"Carro elétrico futurístico com autonomia de 308 km e aceleração de 0 a 100 km/h em 3.69 s"
EV Model 3 127,"Carro elétrico robusto com autonomia de 257 km e aceleração de 0 a 100 km/h em 2.22 s"
EV Model Y 128,"Carro elétrico futurístico com autonomia de 309 km e aceleração de 0 a 100 km/h em 3.10 s"
EV Cybertruck 129,"Carro elétrico incrível com autonomia de 326 km e aceleração de 0 a 100 km/h em 2.30 s"
EV Semi 130,"Carro elétrico incrível com autonomia de 224 km e aceleração de 0 a 100 km/h em 2.32 s"
EV Cybertruck 131,"Carro elétrico econômico com autonomia de 389 km e aceleração de 0 a 100 km/h em 3.89 s"
EV EV Concept 132,"Carro elétrico econômico com autonomia de 464 km e aceleração de 0 a 100 km/h em 2.97 s"
EV Model S 133,"Carro elétrico elegante com autonomia de 585 km e aceleração de 0 a 100 km/h em 3.65 s"
EV Model S 134,"Carro elétrico econômico com autonomia de 505 km e aceleração de 0 a 100 km/h em 2.32 s"
EV Model S 135,"Carro elétrico econômico com autonomia de 308 km e aceleração de 0 a 100 km/h em 2.08 s"
EV Model X 136,"Carro elétrico moderno com autonomia de 553 km e aceleração de 0 a 100 km/h em 2.79 s"
EV EV Concept 137,"Carro elétrico elegante com autonomia de 538 km e aceleração de 0 a 100 km/h em 3.23 s"
EV Model 3 138,"Carro elétrico robusto com autonomia de 449 km e aceleração de 0 a 100 km/h em 2.04 s"
EV Semi 139,"Carro elétrico elegante com autonomia de 545 km e aceleração de 0 a 100 km/h em 3.04 s"
EV Model 3 140,"Carro elétrico econômico com autonomia de 272 km e aceleração de 0 a 100 km/h em 3.95 s"
EV Cybertruck 141,"Carro elétrico robusto com autonomia de 457 km e aceleração de 0 a 100 km/h em 3.44 s"
EV Roadster 142,"Carro elétrico robusto com autonomia de 239 km e aceleração de 0 a 100 km/h em 3.73 s"
EV Model Y 143,"Carro elétrico moderno com autonomia de 381 km e aceleração de 0 a 100 km/h em 3.67 s"
EV Model Y 144,"Carro elétrico potente com autonomia de 459 km e aceleração de 0 a 100 km/h em 2.53 s"
EV EV Concept 145,"Carro elétrico econômico com autonomia de 412 km e aceleração de 0 a 100 km/h em 2.28 s"
EV Roadster 146,"Carro elétrico moderno com autonomia de 432 km e aceleração de 0 a 100 km/h em 3.97 s"
EV Roadster 147,"Carro elétrico potente com autonomia de 364 km e aceleração de 0 a 100 km/h em 3.43 s"
EV Roadster 148,"Carro elétrico elegante com autonomia de 591 km e aceleração de 0 a 100 km/h em 3.78 s"
EV Roadster 149,"Carro elétrico robusto com autonomia de 570 km e aceleração de 0 a 100 km/h em 2.51 s"
EV Model Y 150,"Carro elétrico moderno com autonomia de 546 km e aceleração de 0 a 100 km/h em 3.68 s"
EV Model 3 151,"Carro elétrico elegante com autonomia de 401 km e aceleração de 0 a 100 km/h em 2.30 s"
EV Roadster 152,"Carro elétrico econômico com autonomia de 409 km e aceleração de 0 a 100 km/h em 3.72 s"
EV Cybertruck 153,"Carro elétrico potente com autonomia de 226 km e aceleração de 0 a 100 km/h em 2.35 s"
EV Model S 154,"Carro elétrico revolucionário com autonomia de 251 km e aceleração de 0 a 100 km/h em 3.49 s"
EV Cybertruck 155,"Carro elétrico econômico com autonomia de 484 km e aceleração de 0 a 100 km/h em 3.15 s"
EV Model S 156,"Carro elétrico robusto com autonomia de 499 km e aceleração de 0 a 100 km/h em 2.18 s"
EV Semi 157,"Carro elétrico elegante com autonomia de 378 km e aceleração de 0 a 100 km/h em 2.62 s"
EV Model Y 158,"Carro elétrico incrível com autonomia de 310 km e aceleração de 0 a 100 km/h em 2.25 s"
EV Model Y 159,"Carro elétrico potente com autonomia de 370 km e aceleração de 0 a 100 km/h em 3.08 s"
EV Model 3 160,"Carro elétrico potente com autonomia de 481 km e aceleração de 0 a 100 km/h em 3.23 s"
EV Cybertruck 161,"Carro elétrico econômico com autonomia de 512 km e aceleração de 0 a 100 km/h em 3.93 s"
EV Semi 162,"Carro elétrico potente com autonomia de 489 km e aceleração de 0 a 100 km/h em 2.52 s"
EV Model 3 163,"Carro elétrico moderno com autonomia de 366 km e aceleração de 0 a 100 km/h em 3.16 s"
EV Semi 164,"Carro elétrico futurístico com autonomia de 279 km e aceleração de 0 a 100 km/h em 2.24 s"
EV Model S 165,"Carro elétrico potente com autonomia de 574 km e aceleração de 0 a 100 km/h em 3.79 s"
EV Model 3 166,"Carro elétrico potente com autonomia de 600 km e aceleração de 0 a 100 km/h em 3.62 s"
EV Model X 167,"Carro elétrico revolucionário com autonomia de 482 km e aceleração de 0 a 100 km/h em 2.94 s"
EV Model 3 168,"Carro elétrico potente com autonomia de 431 km e aceleração de 0 a 100 km/h em 2.09 s"
EV Model X 169,"Carro elétrico incrível com autonomia de 532 km e aceleração de 0 a 100 km/h em 3.64 s"
EV EV Concept 170,"Carro elétrico moderno com autonomia de 320 km e aceleração de 0 a 100 km/h em 2.27 s"
EV Cybertruck 171,"Carro elétrico robusto com autonomia de 466 km e aceleração de 0 a 100 km/h em 3.22 s"
EV Model S 172,"Carro elétrico moderno com autonomia de 260 km e aceleração de 0 a 100 km/h em 3.80 s"
EV Model Y 173,"Carro elétrico elegante com autonomia de 386 km e aceleração de 0 a 100 km/h em 2.66 s"
EV Model Y 174,"Carro elétrico econômico com autonomia de 236 km e aceleração de 0 a 100 km/h em 3.86 s"
EV Roadster 175,"Carro elétrico revolucionário com autonomia de 526 km e aceleração de 0 a 100 km/h em 2.11 s"
EV Cybertruck 176,"Carro elétrico revolucionário com autonomia de 379 km e aceleração de 0 a 100 km/h em 2.74 s"
EV Semi 177,"Carro elétrico potente com autonomia de 501 km e aceleração de 0 a 100 km/h em 2.84 s"
EV EV Concept 178,"Carro elétrico incrível com autonomia de 267 km e aceleração de 0 a 100 km/h em 3.07 s"
EV Model 3 179,"Carro elétrico potente com autonomia de 517 km e aceleração de 0 a 100 km/h em 3.32 s"
EV Roadster 180,"Carro elétrico robusto com autonomia de 214 km e aceleração de 0 a 100 km/h em 3.33 s"
EV Cybertruck 181,"Carro elétrico potente com autonomia de 272 km e aceleração de 0 a 100 km/h em 3.69 s"
EV Cybertruck 182,"Carro elétrico futurístico com autonomia de 534 km e aceleração de 0 a 100 km/h em 3.39 s"
EV Roadster 183,"Carro elétrico elegante com autonomia de 203 km e aceleração de 0 a 100 km/h em 2.53 s"
EV Model Y 184,"Carro elétrico econômico com autonomia de 413 km e aceleração de 0 a 100 km/h em 3.13 s"
EV Roadster 185,"Carro elétrico moderno com autonomia de 210 km e aceleração de 0 a 100 km/h em 3.15 s"
EV Model S 186,"Carro elétrico futurístico com autonomia de 539 km e aceleração de 0 a 100 km/h em 2.97 s"
EV Model Y 187,"Carro elétrico econômico com autonomia de 454 km e aceleração de 0 a 100 km/h em 3.12 s"
EV Model S 188,"Carro elétrico robusto com autonomia de 427 km e aceleração de 0 a 100 km/h em 3.22 s"
EV EV Concept 189,"Carro elétrico incrível com autonomia de 219 km e aceleração de 0 a 100 km/h em 2.31 s"
EV Model Y 190,"Carro elétrico potente com autonomia de 477 km e aceleração de 0 a 100 km/h em 2.91 s"
EV EV Concept 191,"Carro elétrico robusto com autonomia de 511 km e aceleração de 0 a 100 km/h em 3.90 s"
EV Model S 192,"Carro elétrico incrível com autonomia de 596 km e aceleração de 0 a 100 km/h em 3.41 s"
EV Model X 193,"Carro elétrico futurístico com autonomia de 513 km e aceleração de 0 a 100 km/h em 3.62 s"
EV Model 3 194,"Carro elétrico econômico com autonomia de 278 km e aceleração de 0 a 100 km/h em 3.32 s"
EV EV Concept 195,"Carro elétrico econômico com autonomia de 366 km e aceleração de 0 a 100 km/h em 2.58 s"
EV Model X 196,"Carro elétrico robusto com autonomia de 444 km e aceleração de 0 a 100 km/h em 2.64 s"
EV Roadster 197,"Carro elétrico revolucionário com autonomia de 432 km e aceleração de 0 a 100 km/h em 3.22 s"
EV EV Concept 198,"Carro elétrico moderno com autonomia de 398 km e aceleração de 0 a 100 km/h em 3.82 s"
EV Semi 199,"Carro elétrico incrível com autonomia de 438 km e aceleração de 0 a 100 km/h em 2.59 s"
EV Semi 200,"Carro elétrico potente com autonomia de 264 km e aceleração de 0 a 100 km/h em 3.23 s"
EV Model Y 201,"Carro elétrico elegante com autonomia de 229 km e aceleração de 0 a 100 km/h em 2.41 s"
EV Roadster 202,"Carro elétrico elegante com autonomia de 376 km e aceleração de 0 a 100 km/h em 3.97 s"
EV Roadster 203,"Carro elétrico robusto com autonomia de 367 km e aceleração de 0 a 100 km/h em 3.72 s"
EV Semi 204,"Carro elétrico econômico com autonomia de 473 km e aceleração de 0 a 100 km/h em 2.74 s"
EV EV Concept 205,"Carro elétrico elegante com autonomia de 324 km e aceleração de 0 a 100 km/h em 3.49 s"
EV Model X 206,"Carro elétrico potente com autonomia de 403 km e aceleração de 0 a 100 km/h em 3.42 s"
EV Semi 207,"Carro elétrico revolucionário com autonomia de 482 km e aceleração de 0 a 100 km/h em 3.96 s"
EV Model Y 208,"Carro elétrico futurístico com autonomia de 355 km e aceleração de 0 a 100 km/h em 3.82 s"
EV Roadster 209,"Carro elétrico elegante com autonomia de 449 km e aceleração de 0 a 100 km/h em 3.70 s"
EV EV Concept 210,"Carro elétrico econômico com autonomia de 260 km e aceleração de 0 a 100 km/h em 2.54 s"
EV Model S 211,"Carro elétrico elegante com autonomia de 361 km e aceleração de 0 a 100 km/h em 3.31 s"
EV Model S 212,"Carro elétrico futurístico com autonomia de 220 km e aceleração de 0 a 100 km/h em 3.66 s"
EV Model Y 213,"Carro elétrico robusto com autonomia de 354 km e aceleração de 0 a 100 km/h em 2.09 s"
EV Cybertruck 214,"Carro elétrico incrível com autonomia de 529 km e aceleração de 0 a 100 km/h em 2.14 s"
EV Model S 215,"Carro elétrico econômico com autonomia de 399 km e aceleração de 0 a 100 km/h em 2.70 s"
EV Roadster 216,"Carro elétrico futurístico com autonomia de 257 km e aceleração de 0 a 100 km/h em 2.27 s"
EV Model X 217,"Carro elétrico incrível com autonomia de 467 km e aceleração de 0 a 100 km/h em 3.50 s"
EV Model X 218,"Carro elétrico econômico com autonomia de 325 km e aceleração de 0 a 100 km/h em 3.70 s"
EV Model X 219,"Carro elétrico elegante com autonomia de 248 km e aceleração de 0 a 100 km/h em 2.05 s"
EV Model 3 220,"Carro elétrico econômico com autonomia de 219 km e aceleração de 0 a 100 km/h em 2.21 s"
EV Roadster 221,"Carro elétrico moderno com autonomia de 482 km e aceleração de 0 a 100 km/h em 3.48 s"
EV Roadster 222,"Carro elétrico revolucionário com autonomia de 284 km e aceleração de 0 a 100 km/h em 2.06 s"
EV Model X 223,"Carro elétrico econômico com autonomia de 404 km e aceleração de 0 a 100 km/h em 2.05 s"
EV Model Y 224,"Carro elétrico incrível com autonomia de 360 km e aceleração de 0 a 100 km/h em 2.40 s"
EV EV Concept 225,"Carro elétrico incrível com autonomia de 483 km e aceleração de 0 a 100 km/h em 3.47 s"
EV Roadster 226,"Carro elétrico robusto com autonomia de 270 km e aceleração de 0 a 100 km/h em 3.46 s"
EV Model S 227,"Carro elétrico futurístico com autonomia de 257 km e aceleração de 0 a 100 km/h em 2.73 s"
EV Model Y 228,"Carro elétrico econômico com autonomia de 296 km e aceleração de 0 a 100 km/h em 2.58 s"
EV Model 3 229,"Carro elétrico revolucionário com autonomia de 279 km e aceleração de 0 a 100 km/h em 2.00 s"
EV EV Concept 230,"Carro elétrico econômico com autonomia de 382 km e aceleração de 0 a 100 km/h em 3.61 s"
EV Model X 231,"Carro elétrico robusto com autonomia de 488 km e aceleração de 0 a 100 km/h em 3.88 s"
EV Model Y 232,"Carro elétrico moderno com autonomia de 458 km e aceleração de 0 a 100 km/h em 2.90 s"
EV Model Y 233,"Carro elétrico futurístico com autonomia de 334 km e aceleração de 0 a 100 km/h em 2.33 s"
EV Model 3 234,"Carro elétrico potente com autonomia de 493 km e aceleração de 0 a 100 km/h em 2.71 s"
EV Roadster 235,"Carro elétrico robusto com autonomia de 548 km e aceleração de 0 a 100 km/h em 3.53 s"
EV EV Concept 236,"Carro elétrico potente com autonomia de 498 km e aceleração de 0 a 100 km/h em 3.74 s"
EV Model X 237,"Carro elétrico revolucionário com autonomia de 223 km e aceleração de 0 a 100 km/h em 3.81 s"
EV Semi 238,"Carro elétrico potente com autonomia de 482 km e aceleração de 0 a 100 km/h em 3.79 s"
EV EV Concept 239,"Carro elétrico potente com autonomia de 263 km e aceleração de 0 a 100 km/h em 3.88 s"
EV Model X 240,"Carro elétrico robusto com autonomia de 283 km e aceleração de 0 a 100 km/h em 3.62 s"
EV EV Concept 241,"Carro elétrico elegante com autonomia de 282 km e aceleração de 0 a 100 km/h em 3.41 s"
EV Model X 242,"Carro elétrico revolucionário com autonomia de 530 km e aceleração de 0 a 100 km/h em 2.17 s"
EV Model X 243,"Carro elétrico moderno com autonomia de 416 km e aceleração de 0 a 100 km/h em 2.44 s"
EV Model X 244,"Carro elétrico potente com autonomia de 529 km e aceleração de 0 a 100 km/h em 2.05 s"
EV Roadster 245,"Carro elétrico incrível com autonomia de 208 km e aceleração de 0 a 100 km/h em 2.61 s"
EV Model X 246,"Carro elétrico econômico com autonomia de 584 km e aceleração de 0 a 100 km/h em 2.10 s"
EV Roadster 247,"Carro elétrico moderno com autonomia de 283 km e aceleração de 0 a 100 km/h em 2.84 s"
EV EV Concept 248,"Carro elétrico futurístico com autonomia de 319 km e aceleração de 0 a 100 km/h em 3.92 s"
EV Semi 249,"Carro elétrico moderno com autonomia de 311 km e aceleração de 0 a 100 km/h em 2.78 s"
EV Cybertruck 250,"Carro elétrico moderno com autonomia de 428 km e aceleração de 0 a 100 km/h em 2.96 s"
EV Cybertruck 251,"Carro elétrico econômico com autonomia de 296 km e aceleração de 0 a 100 km/h em 2.42 s"
EV Model Y 252,"Carro elétrico moderno com autonomia de 477 km e aceleração de 0 a 100 km/h em 3.51 s"
EV Semi 253,"Carro elétrico elegante com autonomia de 371 km e aceleração de 0 a 100 km/h em 2.41 s"
